product_id,product_category,manufacture_date,expiry_date,expiry_type,storage_requirement,ingredient_text,declared_allergens,compliance_status
F067,Bakery,2025-12-11,2025-12-18,best_before,Ambient,"Muffins, walnuts","Gluten, Tree Nuts",Declared
F068,Ready-to-Eat,2025-12-16,2025-12-18,use_by,Chilled,"Pesto pasta, pine nuts","Gluten, Tree Nuts, Milk",Declared
F069,Snacks,2025-12-05,2026-01-05,best_before,Ambient,"Fruit leather, apple","",Declared
F070,Frozen Foods,2025-12-01,2026-03-01,best_before,Frozen,"Lasagna, beef, pasta","Gluten, Milk",Declared
F071,Dairy,2025-12-15,2025-12-20,use_by,Chilled,"Whipping cream","Milk",Declared
F072,Bakery,2025-12-12,2025-12-19,best_before,Ambient,"Donuts, glaze","Gluten, Eggs, Milk",Declared
F073,Ready-to-Eat,2025-12-17,2025-12-19,use_by,Chilled,"Shrimp cocktail","Crustaceans",Declared
F074,Snacks,2025-12-06,2026-01-06,best_before,Ambient,"Peanut butter crackers","Peanuts, Gluten",Declared
F075,Frozen Foods,2025-12-02,2026-03-02,best_before,Frozen,"Waffles, wheat flour","Gluten, Eggs",Declared
F076,Dairy,2025-12-16,2025-12-21,use_by,Chilled,"Kefir, milk","Milk",Declared
F077,Bakery,2025-12-13,2025-12-20,best_before,Ambient,"Croissants, butter","Gluten, Milk",Declared
F078,Ready-to-Eat,2025-12-18,2025-12-20,use_by,Chilled,"Quiche, spinach, eggs","Eggs, Milk, Gluten",Declared
F079,Snacks,2025-12-07,2026-01-07,best_before,Ambient,"Hazelnuts, cocoa","Tree Nuts",Declared
F080,Frozen Foods,2025-12-03,2026-03-03,best_before,Frozen,"Chicken nuggets","Gluten",Declared
F081,Dairy,2025-12-17,2025-12-22,use_by,Chilled,"Skim milk","Milk",Declared
F082,Bakery,2025-12-14,2025-12-21,best_before,Ambient,"White bread, yeast","Gluten",Declared
F083,Ready-to-Eat,2025-12-19,2025-12-21,use_by,Chilled,"Greek salad, feta","Milk",Declared
F084,Snacks,2025-12-08,2026-01-08,best_before,Ambient,"Beef jerky, soy sauce","Soy",Declared
F085,Frozen Foods,2025-12-04,2026-03-04,best_before,Frozen,"Sorbet, raspberry","",Declared
F086,Dairy,2025-12-18,2025-12-23,use_by,Chilled,"Sour cream","Milk",Declared
F087,Bakery,2025-12-15,2025-12-22,best_before,Ambient,"Pumpernickel bread","Gluten",Declared
F088,Ready-to-Eat,2025-12-20,2025-12-22,use_by,Chilled,"Pad Thai, peanuts","Peanuts, Eggs",Declared
F089,Snacks,2025-12-09,2026-01-09,best_before,Ambient,"Corn chips, lime","",Declared
F090,Frozen Foods,2025-12-05,2026-03-05,best_before,Frozen,"Mixed berries","",Declared
F091,Dairy,2025-12-19,2025-12-24,use_by,Chilled,"Evaporated milk","Milk",Declared
F092,Bakery,2025-12-16,2025-12-23,best_before,Ambient,"Bagel, plain","Gluten",Declared
F093,Ready-to-Eat,2025-12-21,2025-12-23,use_by,Chilled,"Cobb salad, egg","Eggs, Milk",Declared
F094,Snacks,2025-12-10,2026-01-10,best_before,Ambient,"Macadamia nuts","Tree Nuts",Declared
F095,Frozen Foods,2025-12-06,2026-03-06,best_before,Frozen,"Fries, potato","",Declared
F096,Dairy,2025-12-20,2025-12-25,use_by,Chilled,"Parmesan cheese","Milk",Declared
F097,Bakery,2025-12-17,2025-12-24,best_before,Ambient,"Whole wheat rolls","Gluten",Declared
F098,Ready-to-Eat,2025-12-22,2025-12-24,use_by,Chilled,"Beef stir fry, soy","Soy",Declared
F099,Snacks,2025-12-11,2026-01-11,best_before,Ambient,"Trail mix, nuts","Tree Nuts, Peanuts",Declared
F100,Frozen Foods,2025-12-07,2026-03-07,best_before,Frozen,"Apple pie, wheat","Gluten",Declared
F101,Dairy,2025-12-21,2025-12-26,use_by,Chilled,"Ghee, milk fat","Milk",Declared
F102,Bakery,2025-12-18,2025-12-25,best_before,Ambient,"Brioche, eggs, butter","Gluten, Eggs, Milk",Declared
F103,Ready-to-Eat,2025-12-23,2025-12-25,use_by,Chilled,"Burrito, soy crumbles","Gluten, Soy",Declared
F104,Snacks,2025-12-12,2026-01-12,best_before,Ambient,"Granola bar, oats, milk","Gluten, Milk",Declared
F105,Frozen Foods,2025-12-08,2026-03-08,best_before,Frozen,"Onion rings, flour","Gluten",Declared
F106,Dairy,2025-12-22,2025-12-27,use_by,Chilled,"Soy milk","Soy",Declared
F107,Bakery,2025-12-19,2025-12-26,best_before,Ambient,"French bread","Gluten",Declared
F108,Ready-to-Eat,2025-12-24,2025-12-26,use_by,Chilled,"Falafel, tahini","Sesame",Declared
F109,Snacks,2025-12-13,2026-01-13,best_before,Ambient,"Sesame sticks","Sesame, Gluten",Declared
F110,Frozen Foods,2025-12-09,2026-03-09,best_before,Frozen,"Hash browns","",Declared
F111,Dairy,2025-12-23,2025-12-28,use_by,Chilled,"Quark cheese","Milk",Declared
F112,Bakery,2025-12-20,2025-12-27,best_before,Ambient,"English muffins","Gluten",Declared
F113,Ready-to-Eat,2025-12-25,2025-12-27,use_by,Chilled,"Butter chicken","Milk",Declared
F114,Snacks,2025-12-14,2026-01-14,best_before,Ambient,"Pecans, honey","Tree Nuts",Declared
F115,Frozen Foods,2025-12-10,2026-03-10,best_before,Frozen,"Veggie burger, soy","Soy, Gluten",Declared
F116,Dairy,2025-12-24,2025-12-29,use_by,Chilled,"Buttermilk","Milk",Declared
F117,Bakery,2025-12-21,2025-12-28,best_before,Ambient,"Flatbread","Gluten",Declared
F118,Ready-to-Eat,2025-12-26,2025-12-28,use_by,Chilled,"Chicken wrap, flour","Gluten",Declared
F119,Snacks,2025-12-15,2026-01-15,best_before,Ambient,"Plantain chips","",Declared
F120,Frozen Foods,2025-12-11,2026-03-11,best_before,Frozen,"Spring rolls, shrimp","Crustaceans, Gluten",Declared
F121,Dairy,2025-12-25,2025-12-30,use_by,Chilled,"Mozzarella","Milk",Declared
F122,Bakery,2025-12-22,2025-12-29,best_before,Ambient,"Dinner rolls","Gluten",Declared
F123,Ready-to-Eat,2025-12-27,2025-12-29,use_by,Chilled,"Antipasto, cheese","Milk",Declared
F124,Snacks,2025-12-16,2026-01-16,best_before,Ambient,"Dried mango","",Declared
F125,Frozen Foods,2025-12-12,2026-03-12,best_before,Frozen,"Fish sticks","Fish, Gluten",Declared
F126,Dairy,2025-12-26,2025-12-31,use_by,Chilled,"Ricotta","Milk",Declared
F127,Bakery,2025-12-23,2025-12-30,best_before,Ambient,"Breadsticks","Gluten",Declared
F128,Ready-to-Eat,2025-12-28,2025-12-30,use_by,Chilled,"Potato salad, egg","Eggs",Declared
F129,Snacks,2025-12-17,2026-01-17,best_before,Ambient,"Peanut brittle","Peanuts",Declared
F130,Frozen Foods,2025-12-13,2026-03-13,best_before,Frozen,"Chicken pot pie","Gluten, Milk",Declared
F131,Dairy,2025-12-27,2026-01-01,use_by,Chilled,"Mascarpone","Milk",Declared
F132,Bakery,2025-12-24,2025-12-31,best_before,Ambient,"Fruit cake, nuts","Gluten, Tree Nuts",Declared
F133,Ready-to-Eat,2025-12-29,2025-12-31,use_by,Chilled,"Pasta carbonara, egg","Gluten, Eggs, Milk",Declared
F134,Snacks,2025-12-18,2026-01-18,best_before,Ambient,"Pumpkin seeds","",Declared
F135,Frozen Foods,2025-12-14,2026-03-14,best_before,Frozen,"Spinach pizza","Gluten, Milk",Declared
F136,Dairy,2025-12-28,2026-01-02,use_by,Chilled,"Lactose free milk","Milk",Declared
F137,Bakery,2025-12-25,2026-01-01,best_before,Ambient,"Naan bread","Gluten, Milk",Declared
F138,Ready-to-Eat,2025-12-30,2026-01-01,use_by,Chilled,"Egg fried rice","Eggs, Soy",Declared
F139,Snacks,2025-12-19,2026-01-19,best_before,Ambient,"Rice cakes","",Declared
F140,Frozen Foods,2025-12-15,2026-03-15,best_before,Frozen,"Pierogi, wheat","Gluten",Declared
F141,Dairy,2025-12-29,2026-01-03,use_by,Chilled,"Yoghurt drink","Milk",Declared
F142,Bakery,2025-12-26,2026-01-02,best_before,Ambient,"Scones, wheat, cream","Gluten, Milk",Declared
F143,Ready-to-Eat,2025-12-31,2026-01-02,use_by,Chilled,"Beef lasagne","Gluten, Milk",Declared
F144,Snacks,2025-12-20,2026-01-20,best_before,Ambient,"Wasabi peas","",Declared
F145,Frozen Foods,2025-12-16,2026-03-16,best_before,Frozen,"Frozen yoghurt","Milk",Declared
F146,Dairy,2025-12-30,2026-01-04,use_by,Chilled,"Milkshake, chocolate","Milk",Declared
F147,Bakery,2025-12-27,2026-01-03,best_before,Ambient,"Challah bread, eggs","Gluten, Eggs",Declared
F148,Ready-to-Eat,2026-01-01,2026-01-03,use_by,Chilled,"Clam chowder","Molluscs, Milk",Declared
F149,Snacks,2025-12-21,2026-01-21,best_before,Ambient,"Pork scratchings","",Declared
F150,Frozen Foods,2025-12-17,2026-03-17,best_before,Frozen,"Ravioli, cheese","Gluten, Milk",Declared
