item_id,food_type,cooked_at,storage_temperature_c,temperature_duration_hours,expiry_type,expiry_date,ingredient_text
G026,Pasta Salad,2025-12-11 14:00,4.2,7,use_by,2025-12-13,"Pasta, mayo, peas, carrots"
G027,Beef Stew,2025-12-08 19:00,3.7,46,use_by,2025-12-11,"Beef, potatoes, broth, onions"
G028,Tomato Soup,2025-12-12 11:00,5.2,10,use_by,2025-12-16,"Tomatoes, cream, basil"
G029,Muffins,2025-12-11 07:30,22.5,45,best_before,2025-12-16,"Flour, sugar, blueberries, eggs"
G030,Green Salad,2025-12-13 10:15,4.6,3,use_by,2025-12-14,"Lettuce, spinach, cucumber"
G031,Cooked Rice,2025-12-14 08:45,4.0,19,use_by,2025-12-16,"Rice, salt, oil"
G032,Chicken Curry,2025-12-14 13:00,6.2,9,use_by,2025-12-17,"Chicken, spices, yoghurt"
G033,Bread Loaf,2025-12-13 06:45,21.7,25,best_before,2025-12-19,"Wheat flour, yeast, sugar"
G034,Milk Pack,2025-12-12 09:20,4.5,38,use_by,2025-12-17,"Milk"
G035,Snack Mix,2025-12-05 11:15,23.9,130,best_before,2026-01-05,"Peanuts, oil, spices"
G036,Pasta Salad,2025-12-15 14:30,5.1,5,use_by,2025-12-17,"Pasta, mayo, peas, carrots"
G037,Beef Stew,2025-12-12 18:30,4.1,44,use_by,2025-12-15,"Beef, potatoes, broth, onions"
G038,Tomato Soup,2025-12-16 12:00,5.4,15,use_by,2025-12-20,"Tomatoes, cream, basil"
G039,Muffins,2025-12-15 08:15,22.0,52,best_before,2025-12-20,"Flour, sugar, blueberries, eggs"
G040,Green Salad,2025-12-17 10:30,4.9,6,use_by,2025-12-18,"Lettuce, spinach, cucumber"
G041,Cooked Rice,2025-12-18 08:15,4.2,17,use_by,2025-12-20,"Rice, salt, oil"
G042,Chicken Curry,2025-12-18 12:45,6.5,10,use_by,2025-12-21,"Chicken, spices, yoghurt"
G043,Bread Loaf,2025-12-17 06:30,21.2,26,best_before,2025-12-23,"Wheat flour, yeast, sugar"
G044,Milk Pack,2025-12-16 08:50,4.7,41,use_by,2025-12-21,"Milk"
G045,Snack Mix,2025-12-08 10:45,24.5,115,best_before,2026-01-08,"Peanuts, oil, spices"
G046,Pasta Salad,2025-12-19 14:45,4.8,9,use_by,2025-12-21,"Pasta, mayo, peas, carrots"
G047,Beef Stew,2025-12-16 19:15,3.8,47,use_by,2025-12-19,"Beef, potatoes, broth, onions"
G048,Tomato Soup,2025-12-20 11:45,5.1,13,use_by,2025-12-24,"Tomatoes, cream, basil"
G049,Muffins,2025-12-19 07:45,22.2,47,best_before,2025-12-24,"Flour, sugar, blueberries, eggs"
G050,Green Salad,2025-12-21 10:45,5.0,4,use_by,2025-12-22,"Lettuce, spinach, cucumber"
G051,Cooked Rice,2025-12-22 08:30,4.1,18,use_by,2025-12-24,"Rice, salt, oil"
G052,Chicken Curry,2025-12-22 13:15,6.3,11,use_by,2025-12-25,"Chicken, spices, yoghurt"
G053,Bread Loaf,2025-12-21 06:15,21.9,29,best_before,2025-12-27,"Wheat flour, yeast, sugar"
G054,Milk Pack,2025-12-20 09:30,4.3,37,use_by,2025-12-25,"Milk"
G055,Snack Mix,2025-12-12 11:30,24.1,125,best_before,2026-01-12,"Peanuts, oil, spices"
G056,Pasta Salad,2025-12-23 15:00,5.0,6,use_by,2025-12-25,"Pasta, mayo, peas, carrots"
G057,Beef Stew,2025-12-20 18:45,3.9,45,use_by,2025-12-23,"Beef, potatoes, broth, onions"
G058,Tomato Soup,2025-12-24 12:15,5.3,16,use_by,2025-12-28,"Tomatoes, cream, basil"
G059,Muffins,2025-12-23 08:30,22.4,51,best_before,2025-12-28,"Flour, sugar, blueberries, eggs"
G060,Green Salad,2025-12-25 10:00,4.7,5,use_by,2025-12-26,"Lettuce, spinach, cucumber"
G061,Cooked Rice,2025-12-26 09:00,4.0,20,use_by,2025-12-28,"Rice, salt, oil"
G062,Chicken Curry,2025-12-26 13:45,6.6,12,use_by,2025-12-29,"Chicken, spices, yoghurt"
G063,Bread Loaf,2025-12-25 07:00,21.0,27,best_before,2025-12-31,"Wheat flour, yeast, sugar"
G064,Milk Pack,2025-12-24 10:00,4.6,39,use_by,2025-12-29,"Milk"
G065,Snack Mix,2025-12-15 12:00,23.8,135,best_before,2026-01-15,"Peanuts, oil, spices"
G066,Pasta Salad,2025-12-27 15:30,4.9,7,use_by,2025-12-29,"Pasta, mayo, peas, carrots"
G067,Beef Stew,2025-12-24 19:30,4.2,43,use_by,2025-12-27,"Beef, potatoes, broth, onions"
G068,Tomato Soup,2025-12-28 12:30,5.6,14,use_by,2026-01-01,"Tomatoes, cream, basil"
G069,Muffins,2025-12-27 09:00,22.6,49,best_before,2026-01-01,"Flour, sugar, blueberries, eggs"
G070,Green Salad,2025-12-29 11:15,4.5,4,use_by,2025-12-30,"Lettuce, spinach, cucumber"
G071,Cooked Rice,2025-12-30 08:30,4.1,18,use_by,2026-01-01,"Rice, salt, oil"
G072,Chicken Curry,2025-12-30 13:00,6.0,10,use_by,2026-01-02,"Chicken, spices, yoghurt"
G073,Bread Loaf,2025-12-29 06:45,21.5,32,best_before,2026-01-04,"Wheat flour, yeast, sugar"
G074,Milk Pack,2025-12-28 09:20,4.4,40,use_by,2026-01-02,"Milk"
G075,Snack Mix,2025-12-18 11:45,24.0,120,best_before,2026-01-18,"Peanuts, oil, spices"
G076,Pasta Salad,2025-12-31 14:15,5.2,8,use_by,2026-01-02,"Pasta, mayo, peas, carrots"
G077,Beef Stew,2025-12-28 18:15,4.0,46,use_by,2025-12-31,"Beef, potatoes, broth, onions"
G078,Tomato Soup,2026-01-01 12:00,5.0,12,use_by,2026-01-05,"Tomatoes, cream, basil"
G079,Muffins,2025-12-31 08:00,22.0,50,best_before,2026-01-05,"Flour, sugar, blueberries, eggs"
G080,Green Salad,2026-01-02 10:30,4.8,6,use_by,2026-01-03,"Lettuce, spinach, cucumber"
G081,Cooked Rice,2025-12-05 09:00,4.1,18,use_by,2025-12-07,"Rice, salt, oil"
G082,Chicken Curry,2025-12-05 13:00,5.8,11,use_by,2025-12-08,"Chicken, spices, yoghurt"
G083,Bread Loaf,2025-12-04 07:00,22.1,28,best_before,2025-12-10,"Wheat flour, yeast, sugar"
G084,Milk Pack,2025-12-06 10:00,3.9,34,use_by,2025-12-11,"Milk"
G085,Snack Mix,2025-12-01 11:30,24.5,130,best_before,2025-12-31,"Peanuts, oil, spices"
G086,Pasta Salad,2025-12-07 15:00,4.6,8,use_by,2025-12-09,"Pasta, mayo, peas, carrots"
G087,Beef Stew,2025-12-03 19:00,4.0,42,use_by,2025-12-06,"Beef, potatoes, broth, onions"
G088,Tomato Soup,2025-12-08 12:30,5.2,14,use_by,2025-12-12,"Tomatoes, cream, basil"
G089,Muffins,2025-12-07 09:00,21.8,46,best_before,2025-12-12,"Flour, sugar, blueberries, eggs"
G090,Green Salad,2025-12-09 11:30,4.9,5,use_by,2025-12-10,"Lettuce, spinach, cucumber"
G091,Cooked Rice,2025-12-10 09:15,4.3,20,use_by,2025-12-12,"Rice, salt, oil"
G092,Chicken Curry,2025-12-10 14:00,6.2,12,use_by,2025-12-13,"Chicken, spices, yoghurt"
G093,Bread Loaf,2025-12-09 07:30,21.6,26,best_before,2025-12-15,"Wheat flour, yeast, sugar"
G094,Milk Pack,2025-12-08 10:15,4.5,39,use_by,2025-12-13,"Milk"
G095,Snack Mix,2025-12-02 12:00,23.7,115,best_before,2026-01-02,"Peanuts, oil, spices"
G096,Pasta Salad,2025-12-11 15:30,5.0,7,use_by,2025-12-13,"Pasta, mayo, peas, carrots"
G097,Beef Stew,2025-12-08 20:00,3.8,45,use_by,2025-12-11,"Beef, potatoes, broth, onions"
G098,Tomato Soup,2025-12-12 13:00,5.4,13,use_by,2025-12-16,"Tomatoes, cream, basil"
G099,Muffins,2025-12-11 09:30,22.3,48,best_before,2025-12-16,"Flour, sugar, blueberries, eggs"
G100,Green Salad,2025-12-13 11:45,4.7,4,use_by,2025-12-14,"Lettuce, spinach, cucumber"
G101,Cooked Rice,2025-12-14 09:30,4.2,17,use_by,2025-12-16,"Rice, salt, oil"
G102,Chicken Curry,2025-12-14 14:15,6.5,10,use_by,2025-12-17,"Chicken, spices, yoghurt"
G103,Bread Loaf,2025-12-13 08:00,21.9,30,best_before,2025-12-19,"Wheat flour, yeast, sugar"
G104,Milk Pack,2025-12-12 10:30,4.8,42,use_by,2025-12-17,"Milk"
G105,Snack Mix,2025-12-05 12:30,24.1,140,best_before,2026-01-05,"Peanuts, oil, spices"
G106,Pasta Salad,2025-12-15 16:00,5.3,6,use_by,2025-12-17,"Pasta, mayo, peas, carrots"
G107,Beef Stew,2025-12-12 20:30,4.1,48,use_by,2025-12-15,"Beef, potatoes, broth, onions"
G108,Tomato Soup,2025-12-16 13:30,5.5,15,use_by,2025-12-20,"Tomatoes, cream, basil"
G109,Muffins,2025-12-15 10:00,22.5,52,best_before,2025-12-20,"Flour, sugar, blueberries, eggs"
G110,Green Salad,2025-12-17 11:15,4.9,5,use_by,2025-12-18,"Lettuce, spinach, cucumber"
G111,Cooked Rice,2025-12-18 09:45,4.0,19,use_by,2025-12-20,"Rice, salt, oil"
G112,Chicken Curry,2025-12-18 13:30,6.1,11,use_by,2025-12-21,"Chicken, spices, yoghurt"
G113,Bread Loaf,2025-12-17 07:15,21.4,25,best_before,2025-12-23,"Wheat flour, yeast, sugar"
G114,Milk Pack,2025-12-16 09:40,4.6,38,use_by,2025-12-21,"Milk"
G115,Snack Mix,2025-12-08 11:15,23.8,125,best_before,2026-01-08,"Peanuts, oil, spices"
G116,Pasta Salad,2025-12-19 15:15,4.7,9,use_by,2025-12-21,"Pasta, mayo, peas, carrots"
G117,Beef Stew,2025-12-16 20:45,3.9,44,use_by,2025-12-19,"Beef, potatoes, broth, onions"
G118,Tomato Soup,2025-12-20 12:15,5.1,12,use_by,2025-12-24,"Tomatoes, cream, basil"
G119,Muffins,2025-12-19 08:30,22.2,49,best_before,2025-12-24,"Flour, sugar, blueberries, eggs"
G120,Green Salad,2025-12-21 11:30,5.0,3,use_by,2025-12-22,"Lettuce, spinach, cucumber"
G121,Cooked Rice,2025-12-22 09:15,4.2,18,use_by,2025-12-24,"Rice, salt, oil"
G122,Chicken Curry,2025-12-22 14:00,6.4,10,use_by,2025-12-25,"Chicken, spices, yoghurt"
G123,Bread Loaf,2025-12-21 07:45,21.8,27,best_before,2025-12-27,"Wheat flour, yeast, sugar"
G124,Milk Pack,2025-12-20 10:15,4.3,41,use_by,2025-12-25,"Milk"
G125,Snack Mix,2025-12-12 12:45,24.3,135,best_before,2026-01-12,"Peanuts, oil, spices"
G126,Pasta Salad,2025-12-23 16:30,5.2,7,use_by,2025-12-25,"Pasta, mayo, peas, carrots"
G127,Beef Stew,2025-12-20 20:15,4.0,46,use_by,2025-12-23,"Beef, potatoes, broth, onions"
G128,Tomato Soup,2025-12-24 13:45,5.3,16,use_by,2025-12-28,"Tomatoes, cream, basil"
G129,Muffins,2025-12-23 09:15,22.1,51,best_before,2025-12-28,"Flour, sugar, blueberries, eggs"
G130,Green Salad,2025-12-25 11:45,4.6,5,use_by,2025-12-26,"Lettuce, spinach, cucumber"
G131,Cooked Rice,2025-12-26 10:15,4.1,20,use_by,2025-12-28,"Rice, salt, oil"
G132,Chicken Curry,2025-12-26 15:00,6.7,12,use_by,2025-12-29,"Chicken, spices, yoghurt"
G133,Bread Loaf,2025-12-25 08:30,21.3,32,best_before,2025-12-31,"Wheat flour, yeast, sugar"
G134,Milk Pack,2025-12-24 11:30,4.5,40,use_by,2025-12-29,"Milk"
G135,Snack Mix,2025-12-15 13:15,23.9,120,best_before,2026-01-15,"Peanuts, oil, spices"
G136,Pasta Salad,2025-12-27 17:00,5.0,8,use_by,2025-12-29,"Pasta, mayo, peas, carrots"
G137,Beef Stew,2025-12-24 21:00,4.2,43,use_by,2025-12-27,"Beef, potatoes, broth, onions"
G138,Tomato Soup,2025-12-28 14:30,5.4,14,use_by,2026-01-01,"Tomatoes, cream, basil"
G139,Muffins,2025-12-27 10:30,22.7,47,best_before,2026-01-01,"Flour, sugar, blueberries, eggs"
G140,Green Salad,2025-12-29 12:45,4.4,4,use_by,2025-12-30,"Lettuce, spinach, cucumber"
G141,Cooked Rice,2025-12-30 09:45,4.2,18,use_by,2026-01-01,"Rice, salt, oil"
G142,Chicken Curry,2025-12-30 14:30,6.1,10,use_by,2026-01-02,"Chicken, spices, yoghurt"
G143,Bread Loaf,2025-12-29 08:15,21.1,28,best_before,2026-01-04,"Wheat flour, yeast, sugar"
G144,Milk Pack,2025-12-28 10:45,4.7,42,use_by,2026-01-02,"Milk"
G145,Snack Mix,2025-12-18 13:00,24.4,130,best_before,2026-01-18,"Peanuts, oil, spices"
G146,Pasta Salad,2025-12-31 16:30,5.3,6,use_by,2026-01-02,"Pasta, mayo, peas, carrots"
G147,Beef Stew,2025-12-28 22:00,4.0,47,use_by,2025-12-31,"Beef, potatoes, broth, onions"
G148,Tomato Soup,2026-01-01 13:15,5.1,12,use_by,2026-01-05,"Tomatoes, cream, basil"
G149,Muffins,2025-12-31 09:30,22.2,50,best_before,2026-01-05,"Flour, sugar, blueberries, eggs"
G150,Green Salad,2026-01-02 12:00,4.8,6,use_by,2026-01-03,"Lettuce, spinach, cucumber"
