item_id,food_type,cooked_at,storage_temperature_c,temperature_duration_hours,expiry_type,expiry_date,ingredient_text,validation_errors,hours_since_prepared,is_use_by,has_temperature_data
G102,Chicken Curry,2025-12-14 14:15:00,6.5,10,use_by,2025-12-17,"Chicken, spices, yoghurt",,-10490.25,1,1
G104,Milk Pack,2025-12-12 10:30:00,4.8,42,use_by,2025-12-17,Milk,,-10438.5,1,1
G106,Pasta Salad,2025-12-15 16:00:00,5.3,6,use_by,2025-12-17,"Pasta, mayo, peas, carrots",,-10516.0,1,1
G107,Beef Stew,2025-12-12 20:30:00,4.1,48,use_by,2025-12-15,"Beef, potatoes, broth, onions",,-10448.5,1,1
G108,Tomato Soup,2025-12-16 13:30:00,5.5,15,use_by,2025-12-20,"Tomatoes, cream, basil",,-10537.5,1,1
G110,Green Salad,2025-12-17 11:15:00,4.9,5,use_by,2025-12-18,"Lettuce, spinach, cucumber",,-10559.25,1,1
G111,Cooked Rice,2025-12-18 09:45:00,4.0,19,use_by,2025-12-20,"Rice, salt, oil",,-10581.75,1,1
G112,Chicken Curry,2025-12-18 13:30:00,6.1,11,use_by,2025-12-21,"Chicken, spices, yoghurt",,-10585.5,1,1
G114,Milk Pack,2025-12-16 09:40:00,4.6,38,use_by,2025-12-21,Milk,,-10533.666666666666,1,1
G116,Pasta Salad,2025-12-19 15:15:00,4.7,9,use_by,2025-12-21,"Pasta, mayo, peas, carrots",,-10611.25,1,1
G117,Beef Stew,2025-12-16 20:45:00,3.9,44,use_by,2025-12-19,"Beef, potatoes, broth, onions",,-10544.75,1,1
G118,Tomato Soup,2025-12-20 12:15:00,5.1,12,use_by,2025-12-24,"Tomatoes, cream, basil",,-10632.25,1,1
G120,Green Salad,2025-12-21 11:30:00,5.0,3,use_by,2025-12-22,"Lettuce, spinach, cucumber",,-10655.5,1,1
G121,Cooked Rice,2025-12-22 09:15:00,4.2,18,use_by,2025-12-24,"Rice, salt, oil",,-10677.25,1,1
G122,Chicken Curry,2025-12-22 14:00:00,6.4,10,use_by,2025-12-25,"Chicken, spices, yoghurt",,-10682.0,1,1
G124,Milk Pack,2025-12-20 10:15:00,4.3,41,use_by,2025-12-25,Milk,,-10630.25,1,1
G126,Pasta Salad,2025-12-23 16:30:00,5.2,7,use_by,2025-12-25,"Pasta, mayo, peas, carrots",,-10708.5,1,1
G127,Beef Stew,2025-12-20 20:15:00,4.0,46,use_by,2025-12-23,"Beef, potatoes, broth, onions",,-10640.25,1,1
G128,Tomato Soup,2025-12-24 13:45:00,5.3,16,use_by,2025-12-28,"Tomatoes, cream, basil",,-10729.75,1,1
G130,Green Salad,2025-12-25 11:45:00,4.6,5,use_by,2025-12-26,"Lettuce, spinach, cucumber",,-10751.75,1,1
G131,Cooked Rice,2025-12-26 10:15:00,4.1,20,use_by,2025-12-28,"Rice, salt, oil",,-10774.25,1,1
G132,Chicken Curry,2025-12-26 15:00:00,6.7,12,use_by,2025-12-29,"Chicken, spices, yoghurt",,-10779.0,1,1
G134,Milk Pack,2025-12-24 11:30:00,4.5,40,use_by,2025-12-29,Milk,,-10727.5,1,1
G136,Pasta Salad,2025-12-27 17:00:00,5.0,8,use_by,2025-12-29,"Pasta, mayo, peas, carrots",,-10805.0,1,1
G137,Beef Stew,2025-12-24 21:00:00,4.2,43,use_by,2025-12-27,"Beef, potatoes, broth, onions",,-10737.0,1,1
G138,Tomato Soup,2025-12-28 14:30:00,5.4,14,use_by,2026-01-01,"Tomatoes, cream, basil",,-10826.5,1,1
G140,Green Salad,2025-12-29 12:45:00,4.4,4,use_by,2025-12-30,"Lettuce, spinach, cucumber",,-10848.75,1,1
G141,Cooked Rice,2025-12-30 09:45:00,4.2,18,use_by,2026-01-01,"Rice, salt, oil",,-10869.75,1,1
G142,Chicken Curry,2025-12-30 14:30:00,6.1,10,use_by,2026-01-02,"Chicken, spices, yoghurt",,-10874.5,1,1
G144,Milk Pack,2025-12-28 10:45:00,4.7,42,use_by,2026-01-02,Milk,,-10822.75,1,1
G146,Pasta Salad,2025-12-31 16:30:00,5.3,6,use_by,2026-01-02,"Pasta, mayo, peas, carrots",,-10900.5,1,1
G147,Beef Stew,2025-12-28 22:00:00,4.0,47,use_by,2025-12-31,"Beef, potatoes, broth, onions",,-10834.0,1,1
G148,Tomato Soup,2026-01-01 13:15:00,5.1,12,use_by,2026-01-05,"Tomatoes, cream, basil",,-10921.25,1,1
G150,Green Salad,2026-01-02 12:00:00,4.8,6,use_by,2026-01-03,"Lettuce, spinach, cucumber",,-10944.0,1,1
